Manchester City,2387
Liverpool,2268
Arsenal,2217
Brighton & Hove Albion,2102
Tottenham Hotspur,2096
Manchester United,2096
Newcastle United,2093
Aston Villa,2090
Chelsea,2067
Wolverhampton Wanderers,2018
West Ham United,2018
Brentford,1977
Leicester City,1973
Everton,1970
AFC Bournemouth,1959
Fulham,1953
Crystal Palace,1938
Leeds United,1933
Nottingham Forest,1901
Southampton,1870
Burnley ,1863
Luton Town,1844
Ipswich Town,1833
Coventry City,1813
Sheffield United,1802
West Bromwich Albion,1772
Middlesbrough ,1759
Norwich City,1757
Bristol City,1738
Sunderland AFC,1719
Hull City,1714
Watford,1705
Preston North End,1698
Swansea City,1682
Blackburn Rovers,1667
Plymouth Argyle,1660
Derby County,1657
Bolton Wanderers,1656
Barnsley,1655
Portsmouth,1651
Sheffield Wednesday,1647
Huddersfield Town,1645
Birmingham City,1640
Stoke City,1634
Cardiff City,1621
Millwall,1605
Peterborough United,1602
Queens Park Rangers,1602
Blackpool,1580
Wigan Athletic,1564
Oxford United,1554
Reading,1551
Rotherham United,1540
Lincoln City,1538
Stevenage,1528
Leyton Orient,1524
Mansfield Town,1510
Wycombe Wanderers,1510
Northampton Town,1482
Stockport County,1482
Wrexham AFC,1475
Bristol Rovers,1474
Burton Albion,1471
Charlton Athletic,1456
Milton Keynes Dons,1454
Cheltenham Town,1450
Exeter City,1449
Crewe Alexandra,1447
Cambridge United,1443
Shrewsbury Town,1430
Morecambe,1422
Port Vale,1416
Fleetwood Town,1413
Bradford City,1400
Newport County,1400
Chesterfield FC,1386
Barrow AFC,1383
Walsall FC,1376
Accrington Stanley,1376
Notts County,1375
Harrogate Town,1374
Salford City,1370
Tranmere Rovers,1367
Gillingham FC,1362
AFC Wimbledon,1359
Crawley Town,1334
Carlisle United,1327
Doncaster Rovers,1305
Swindon Town,1299
Grimsby Town,1283
Colchester United,1263
Bromley FC,1253
Sutton United,1249
Oldham Athletic,1211
Gateshead,1207
Forest Green Rovers,1199
Altrincham,1198
Barnet,1194
Solihull Moors,1194
Southend United,1186
Aldershot Town,1180
Halifax Town,1174
Slough Town,1173
Rochdale AFC,1169
Hartlepool United,1163
AFC Fylde,1140
Dagenham & Redbridge,1132
Torquay United,1125
Eastleigh,1117
Boreham Wood,1110
York City,1107
Woking,1094
Wealdstone,1094
Ebbsfleet United,1089
Kidderminster Harriers,1069
Alfreton Town,1064
Maidenhead United,1060
Dorking Wanderers,1045
Yeovil Town,1032
Kings Lynn,1010
Scunthorpe United,987
Chester FC,982
Oxford City,954
Maidstone United,949
Weymouth FC,929
Real Madrid,2335
Atlético Madrid,2181
FC Barcelona,2152
Real Sociedad,2134
Athletic Bilbao,2124
Girona FC,2092
Real Betis,1999
Villarreal CF,1989
Sevilla FC,1971
Valencia CF,1969
Getafe CF,1945
RCD Mallorca,1936
CA Osasuna,1933
RC Celta,1919
UD Las Palmas,1916
Rayo Vallecano,1907
CD Alavés,1899
Cádiz CF,1844
Espanyol Barcelona,1836
SD Eibar,1825
Real Valladolid,1811
Elche CF,1808
CD Leganés,1807
Granada CF,1806
Levante UD,1802
Real Oviedo,1801
UD Almería,1789
Sporting Gijón,1763
CD Tenerife,1750
Real Zaragoza,1728
Racing Santander,1725
Burgos CF,1719
Racing Ferrol,1717
Deportivo La Coruña,1711
CD Eldense,1703
FC Cartagena,1703
CD Mirandés,1699
SD Huesca,1699
SD Compostela,1696
Albacete,1689
Pontevedra CF,1684
SD Ponferradina,1684
Málaga CF,1682
Real Jaén,1677
CD Guadalajara,1674
FC Andorra,1665
Real Unión,1660
Villarreal CF B,1658
CD Numancia,1649
Barakaldo CF,1645
UD Melilla,1644
CE Europa,1644
Hércules CF,1633
AD Alcorcón,1633
Recreativo Huelva,1633
Gimnástica Torrelavega,1611
UD Logroñés,1611
Terrassa FC,1611
SD Amorebieta,1608
UD Ibiza,1607
CD Castellón,1604
CD Lugo,1593
Gimnàstic,1593
UD Alzira,1583
Lorca Deportiva,1579
CFJ Mollerussa,1473
Bayer Leverkusen,2222
Bayern München,2221
Borussia Dortmund,2163
RB Leipzig,2142
VfB Stuttgart,2059
Eintracht Frankfurt,1980
SC Freiburg,1964
1. FC Union Berlin,1939
VfL Wolfsburg,1937
Bor. Mönchengladbach,1933
Werder Bremen,1909
1899 Hoffenheim,1908
VfL Bochum,1901
1. FC Heidenheim 1846,1869
1. FC Köln,1869
1. FSV Mainz 05,1865
FC St. Pauli,1861
FC Augsburg,1854
Hamburger SV,1814
Fortuna Düsseldorf,1807
Holstein Kiel,1794
Hertha BSC,1769
SC Paderborn 07,1760
SV Darmstadt 98,1757
Hannover 96,1738
FC Schalke 04,1728
SpVgg Greuther Fürth,1723
Karlsruher SC,1700
1. FC Magdeburg,1688
SV 07 Elversberg,1667
1. FC Kaiserslautern,1662
1. FC Nürnberg,1658
1. FC Saarbrücken,1657
SV Wehen Wiesbaden,1648
Dynamo Dresden,1632
Eintracht Braunschweig,1611
Jahn Regensburg,1606
Hansa Rostock,1595
SV Sandhausen,1586
Preußen Münster,1582
SSV Ulm 1846,1578
Borussia Dortmund II,1560
VfL Osnabrück,1559
FV Engers 07,1553
TSV 1860 München,1539
FC Ingolstadt 04,1533
Arminia Bielefeld,1526
Erzgebirge Aue,1518
SpVgg Unterhaching,1508
Rot-Weiss Essen,1498
SC Verl,1493
Viktoria Köln,1487
Würzburger Kickers,1483
Waldhof Mannheim,1449
Wuppertaler SV,1447
Hannover 96 II,1443
FC Gütersloh,1438
SV Meppen,1437
MSV Duisburg,1431
1. FC Phönix Lübeck,1427
BFC Dynamo,1416
Energie Cottbus,1411
Hallescher FC,1410
SC Freiburg II,1407
Alemannia Aachen,1405
VfB Lübeck,1399
Rot-Weiß Oberhausen,1395
FC 08 Homburg,1386
VSG Altglienicke,1383
VfB Oldenburg,1379
Stuttgarter Kickers,1377
1899 Hoffenheim II,1375
TSV Steinbach Haiger,1369
Fortuna Köln,1364
Eimsbütteler TV,1349
Hamburger SV II,1345
Holstein Kiel II,1343
FSV Zwickau,1341
FC Viktoria 1889 Berlin,1341
FC Carl Zeiss Jena,1336
FC Teutonia 05,1323
TSV Havelse,1321
SV Rödinghausen,1321
Bayern München II,1316
Türkgücü München,1314
SV Drochtersen/Assel,1310
Rot-Weiß Erfurt,1308
VfB Stuttgart II,1303
1. FC Bocholt,1303
Kickers Offenbach,1302
FC Schalke 04 II,1301
Greifswalder FC,1298
FC St. Pauli II,1292
SV Babelsberg 03,1292
Weiche Flensburg 08,1291
1. FC Köln II,1282
1. FC Düren,1272
Chemnitzer FC,1272
1. FSV Mainz 05 II,1269
Hertha BSC II,1267
1. FC Lok Leipzig,1267
DJK Vilzing,1266
TSV Aubstadt,1266
1. FC Kaan-Marienborn,1260
BSG Chemie Leipzig,1259
FSV Frankfurt,1256
Werder Bremen II,1255
Eintracht Norderstedt,1252
SC Wiedenbrück,1249
SpVgg Bayreuth,1244
Eintracht Frankfurt II,1243
1. FC Schweinfurt 05,1235
SG Barockstadt Fulda-Lehnerz,1235
FSV 63 Luckenwalde,1231
Fortuna Düsseldorf II,1230
Bor. Mönchengladbach II,1229
Blau-Weiß Lohne,1225
FC Augsburg II,1225
Schwarz-Weiß Rehden,1206
Bremer SV,1206
Bahlinger SC,1205
SSV Jeddeloh II,1204
